Flavonifractor,0.006290998,0.007535521,0.006418122,0.008049055,9.34E-03,0.010428076,0.00754523,5.32E-03,0.013181944,8.62E-03,0.010944817
Pseudoflavonifractor,0.000103357,2.03E-04,0.000151457,0.000179641,9.23E-05,0.000138495,9.48E-05,8.87E-05,0.000118365,5.32E-05,6.51E-05
Methanomassiliicoccus,0.00081406,8.14E-04,0.000790086,0.000861502,8.97E-04,0.000780253,0.001079705,0.000366545,0.002473834,3.73E-04,6.71E-04
Intestinimonas,0.000443943,2.76E-04,0.000273009,0.000320649,0.000170793,0.00027699,0.000237437,0.000266041,0.000829543,0.000320132,0.000354909
Candidatus Stoquefichus,0.000221479,7.20E-05,4.53E-05,5.12E-05,2.55E-05,0,0,0,0,0,0
Candidatus Soleaferrea,8.86E-05,0,2.99E-05,5.12E-05,5.20E-05,0.000100458,3.13E-05,0,6.71E-05,2.61E-05,2.63E-05
Dielma,4.43E-05,0,0,0,0.00013153,0.000175557,3.13E-05,0.000126123,0,6.67E-05,2.63E-05
Peptoclostridium,1.03E-04,0.000174091,0.000364655,7.63E-05,0,0,0,0,3.35E-05,0,0.00E+00
Terrisporobacter,0.002234481,0.003404017,0.003391871,0.004666791,0.002691457,0.004470847,0.003001677,0.002115519,0.004811548,0.003527257,0.004346423
Intestinibacter,0.009370054,0.019872651,0.024671135,0.018091541,0.004063688,0.007694266,0.005798161,0.004143343,5.42E-03,0.011932902,0.005807871
Erysipelatoclostridium,0.003567294,0.007666819,0.0091868,0.009682239,0.002427416,0.00784544,0.004051091,0.003649689,0.005116338,0.009460824,0.006374753
Acidaminococcus,0,5.74E-05,6.08E-05,3.77E-05,1.71E-04,7.51E-05,3.13E-05,2.46E-05,1.35E-04,5.32E-05,6.51E-05
Oligella,0,4.28E-05,4.53E-05,0.000487734,0.00014429,8.78E-05,0,0,0,0,2.63E-05
Catenibacterium,0.00E+00,1.01E-04,1.67E-04,1.15E-04,5.20E-05,3.71E-05,6.35E-05,0,6.71E-05,2.61E-05,1.05E-04
Allisonella,0,0.000115737,0,2.51E-05,0,2.44E-05,0,2.46E-05,5.03E-05,7.93E-05,1.05E-04
Murdochiella,0,2.82E-05,0,0.000230828,3.93E-05,0.000175557,0,0,0,0,0
Haemophilus,0,0,0.000121552,0,3.93E-05,2.44E-05,4.69E-05,6.31E-05,0,2.61E-05,2.63E-05
Prevotella,0,0,9.07E-05,0.000385358,0.000289562,0.000528621,6.35E-05,2.46E-05,5.03E-05,0,0
Brevibacterium,0,0,7.52E-05,0.000230828,5.20E-05,2.44E-05,4.69E-05,0,0,0,0
Corynebacterium,0.00E+00,0.00E+00,2.99E-05,0.000526366,2.24E-04,7.51E-05,4.69E-05,0.00E+00,0,2.61E-05,5.25E-05
Campylobacter,0,0,0.00E+00,2.51E-05,2.55E-05,2.44E-05,0.00E+00,0.00E+00,0,0.00E+00,0
Enterobacter,0,0,0,7.63E-05,3.93E-05,3.71E-05,0,0,0,0,0
Staphylococcus,0,0,0,2.51E-05,0,0,0,0,0,0,0
Actinomyces,0,0,0,2.51E-05,0,0,3.13E-05,0,0,2.61E-05,5.25E-05
Arthrobacter,0.00E+00,0,0,0.000256905,1.05E-04,3.71E-05,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00
Mobiluncus,0,0,0,7.63E-05,0,0,0,0,0,0,0
Succiniclasticum,0,0,0,0.000114931,1.58E-04,6.24E-05,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00
Brachybacterium,0,0.00E+00,0.00E+00,3.77E-05,0,0,0,0,0.00E+00,0,0
Facklamia,0,0,0,7.63E-05,0,2.44E-05,0,0,0,0,0
Finegoldia,0,0,0,2.51E-05,0,6.24E-05,0,0,0,0,0
Peptoniphilus,0,0,0,0.00033417,0,2.44E-05,0,0,0,0,0
Gallicola,0,0.00E+00,0,2.51E-05,2.55E-05,0,0,0,0,0,0
Anaerococcus,0,0,0,0.000269461,0,2.44E-05,0,0,0,0,0
Varibaculum,0,0,0,0.000179641,0.00014429,0.000138495,0,0,0,0,0
Fastidiosipila,0,0,0,0.000141008,0.000223797,0.000200915,0.00E+00,0,0,2.61E-05,0
Pseudoclavibacter,0.00E+00,0,0,2.96E-04,0.00013153,2.44E-05,4.69E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Granulicatella,0,0,0,0,2.55E-05,8.78E-05,0,0,3.35E-05,2.61E-05,0
Bacillus,0,0,0,0,0,2.44E-05,4.69E-05,3.74E-05,0,7.93E-05,2.63E-05
Acetanaerobacterium,0,0,0,0,0,2.44E-05,0,0,0,0,0
Caldicoprobacter,0,0,0,0,0,0.000238952,7.91E-05,0,6.71E-05,0,3.89E-05
Selenomonas,0,0,0,0,0,0,3.13E-05,0,0,0,0
Neisseria,0,0,0,0,0,0,0,3.74E-05,0,0,0
Anaerofustis,0,0,0,0,0,0,0,2.46E-05,0,0,0
Alloprevotella,0,0,0,0,0,0,0,2.46E-05,0,0,0
Fusobacterium,0,0,0,0,0,0,0,0,3.35E-05,0,0
Veillonella,0.00E+00,0,0,0,0,0,0,0,6.71E-05,0,2.63E-05
Leuconostoc,0,0,0,0,0,0,0,0,0,3.97E-05,0
Gemella,0,0,0,0,0,0,0,0,0,6.67E-05,2.63E-05
Christensenella,0,0,0,0,0,0,0,0,0,2.61E-05,0
